feature,year,gender,number_of_jobs,median_income
6-10 years,2017-18,Males,0.099,77600
6-10 years,2018-19,Males,0.106,79591
6-10 years,2019-20,Males,0.098,85569
6-10 years,2020-21,Males,0.096,80876
6-10 years,2021-22,Males,0.106,65210
6-10 years,2017-18,Males,1.392,31272
6-10 years,2018-19,Males,1.374,32512
6-10 years,2019-20,Males,1.339,32609
6-10 years,2020-21,Males,1.36,34271
6-10 years,2021-22,Males,1.567,34099
6-10 years,2017-18,Males,0.605,42294
6-10 years,2018-19,Males,0.6,44143
6-10 years,2019-20,Males,0.575,45867
6-10 years,2020-21,Males,0.646,40806
6-10 years,2021-22,Males,0.711,40521
6-10 years,2017-18,Males,1.076,30823
6-10 years,2018-19,Males,1.046,28635
6-10 years,2019-20,Males,1.02,29798
6-10 years,2020-21,Males,1.1,25538
6-10 years,2021-22,Males,1.287,21230
6-10 years,2017-18,Males,1.285,14714
6-10 years,2018-19,Males,1.316,14053
6-10 years,2019-20,Males,1.417,16199
6-10 years,2020-21,Males,1.695,14521
6-10 years,2021-22,Males,1.963,11386
6-10 years,2017-18,Males,0.953,19873
6-10 years,2018-19,Males,0.94,21614
6-10 years,2019-20,Males,0.959,20816
6-10 years,2020-21,Males,1.073,23183
6-10 years,2021-22,Males,1.223,16806
6-10 years,2017-18,Males,0.2,34707
6-10 years,2018-19,Males,0.234,24645
6-10 years,2019-20,Males,0.207,35166
6-10 years,2020-21,Males,0.283,20162
6-10 years,2021-22,Males,0.305,14460
6-10 years,2017-18,Males,0.459,43748
6-10 years,2018-19,Males,0.481,45149
6-10 years,2019-20,Males,0.458,45844
6-10 years,2020-21,Males,0.492,40175
6-10 years,2021-22,Males,0.555,34955
6-10 years,2017-18,Males,0.309,27718
6-10 years,2018-19,Males,0.306,27201
6-10 years,2019-20,Males,0.287,26665
6-10 years,2020-21,Males,0.306,33058
6-10 years,2021-22,Males,0.384,28963
6-10 years,2017-18,Males,1.197,43682
6-10 years,2018-19,Males,1.275,48632
6-10 years,2019-20,Males,1.226,49718
6-10 years,2020-21,Males,1.294,50112
6-10 years,2021-22,Males,1.417,45216
6-10 years,2017-18,Males,1.775,14933
6-10 years,2018-19,Males,1.754,17238
6-10 years,2019-20,Males,1.68,14878
6-10 years,2020-21,Males,1.972,14976
6-10 years,2021-22,Males,2.263,14093
6-10 years,2017-18,Males,0.629,47344
6-10 years,2018-19,Males,0.595,55083
6-10 years,2019-20,Males,0.51,58556
6-10 years,2020-21,Males,0.471,52010
6-10 years,2021-22,Males,0.509,47371
6-10 years,2017-18,Males,0.715,31307
6-10 years,2018-19,Males,0.735,34356
6-10 years,2019-20,Males,0.681,33481
6-10 years,2020-21,Males,0.674,33606
6-10 years,2021-22,Males,0.673,30003
6-10 years,2017-18,Males,1.062,43153
6-10 years,2018-19,Males,1.121,43753
6-10 years,2019-20,Males,1.125,45992
6-10 years,2020-21,Males,1.412,40833
6-10 years,2021-22,Males,1.72,37328
6-10 years,2017-18,Males,0.241,22653
6-10 years,2018-19,Males,0.293,21300
6-10 years,2019-20,Males,0.272,22009
6-10 years,2020-21,Males,0.314,22861
6-10 years,2021-22,Males,0.337,15298
6-10 years,2017-18,Males,0.503,22041
6-10 years,2018-19,Males,0.538,20801
6-10 years,2019-20,Males,0.561,22707
6-10 years,2020-21,Males,0.655,24698
6-10 years,2021-22,Males,0.694,22191
6-10 years,2017-18,Males,14.687,28894
6-10 years,2018-19,Males,14.717,30002
6-10 years,2019-20,Males,14.258,30534
6-10 years,2020-21,Males,15.814,27935
6-10 years,2021-22,Males,17.749,25063
6-10 years,2017-18,Females,0.37,11974
6-10 years,2018-19,Females,0.42,13723
6-10 years,2019-20,Females,0.417,15546
6-10 years,2020-21,Females,0.533,11308
6-10 years,2021-22,Females,0.567,13777
6-10 years,2017-18,Females,0.076,68013
6-10 years,2018-19,Females,0.088,66807
6-10 years,2019-20,Females,0.093,66901
6-10 years,2020-21,Females,0.095,79889
6-10 years,2021-22,Females,0.107,72078
6-10 years,2017-18,Females,0.914,32489
6-10 years,2018-19,Females,0.976,29755
6-10 years,2019-20,Females,0.991,30316
6-10 years,2020-21,Females,1.154,29964
6-10 years,2021-22,Females,1.36,27907
6-10 years,2017-18,Females,0.052,51651
6-10 years,2018-19,Females,0.069,55957
6-10 years,2019-20,Females,0.061,56217
6-10 years,2020-21,Females,0.07,58133
6-10 years,2021-22,Females,0.099,50009
6-10 years,2017-18,Females,0.407,20711
6-10 years,2018-19,Females,0.455,21269
6-10 years,2019-20,Females,0.44,24368
6-10 years,2020-21,Females,0.558,23500
6-10 years,2021-22,Females,0.649,23810
6-10 years,2017-18,Females,0.673,24617
6-10 years,2018-19,Females,0.685,25925
6-10 years,2019-20,Females,0.678,28611
6-10 years,2020-21,Females,0.783,27266
6-10 years,2021-22,Females,0.862,26379
6-10 years,2017-18,Females,1.895,17658
6-10 years,2018-19,Females,2.056,17144
6-10 years,2019-20,Females,2.139,19605
6-10 years,2020-21,Females,2.477,19038
6-10 years,2021-22,Females,2.87,15395
6-10 years,2017-18,Females,2.828,12302
6-10 years,2018-19,Females,2.911,12796
6-10 years,2019-20,Females,3.1,14679
6-10 years,2020-21,Females,3.581,13285
6-10 years,2021-22,Females,4.244,10533
6-10 years,2017-18,Females,0.452,19130
6-10 years,2018-19,Females,0.491,25897
6-10 years,2019-20,Females,0.521,25100
6-10 years,2020-21,Females,0.577,21083
6-10 years,2021-22,Females,0.713,15621
6-10 years,2017-18,Females,0.209,21325
6-10 years,2018-19,Females,0.237,19807
6-10 years,2019-20,Females,0.218,21906
6-10 years,2020-21,Females,0.283,9183
6-10 years,2021-22,Females,0.334,12202
6-10 years,2017-18,Females,0.703,28265
6-10 years,2018-19,Females,0.724,29192
6-10 years,2019-20,Females,0.726,29936
6-10 years,2020-21,Females,0.844,29625
6-10 years,2021-22,Females,0.993,25265
6-10 years,2017-18,Females,0.564,19354
6-10 years,2018-19,Females,0.622,20681
6-10 years,2019-20,Females,0.64,21628
6-10 years,2020-21,Females,0.753,20015
6-10 years,2021-22,Females,0.896,20110
6-10 years,2017-18,Females,1.612,20848
6-10 years,2018-19,Females,1.771,21815
6-10 years,2019-20,Females,1.805,25584
6-10 years,2020-21,Females,2.02,27175
6-10 years,2021-22,Females,2.384,26875
6-10 years,2017-18,Females,2.293,14164
6-10 years,2018-19,Females,2.603,13566
6-10 years,2019-20,Females,2.713,14484
6-10 years,2020-21,Females,3.115,13161
6-10 years,2021-22,Females,3.811,11970
6-10 years,2017-18,Females,0.478,39115
6-10 years,2018-19,Females,0.508,42921
6-10 years,2019-20,Females,0.453,47372
6-10 years,2020-21,Females,0.478,49662
6-10 years,2021-22,Females,0.576,39376
6-10 years,2017-18,Females,1.9,25139
6-10 years,2018-19,Females,1.984,22404
6-10 years,2019-20,Females,1.985,24199
6-10 years,2020-21,Females,2.065,25484
6-10 years,2021-22,Females,2.264,24481
6-10 years,2017-18,Females,5.012,30407
6-10 years,2018-19,Females,5.558,31081
6-10 years,2019-20,Females,5.731,33249
6-10 years,2020-21,Females,7.149,31359
6-10 years,2021-22,Females,8.684,26911
6-10 years,2017-18,Females,0.391,15757
6-10 years,2018-19,Females,0.454,16723
6-10 years,2019-20,Females,0.477,18168
6-10 years,2020-21,Females,0.53,14016
6-10 years,2021-22,Females,0.605,11747
6-10 years,2017-18,Females,1.458,13512
6-10 years,2018-19,Females,1.6,14996
6-10 years,2019-20,Females,1.652,16709
6-10 years,2020-21,Females,1.971,18316
6-10 years,2021-22,Females,2.325,15491
6-10 years,2017-18,Females,23.66,20002
6-10 years,2018-19,Females,25.366,20451
6-10 years,2019-20,Females,25.984,22323
6-10 years,2020-21,Females,29.993,21729
6-10 years,2021-22,Females,35.247,19267
6-10 years,2017-18,Persons,0.564,13312
6-10 years,2018-19,Persons,0.603,13720
6-10 years,2019-20,Persons,0.587,16255
6-10 years,2020-21,Persons,0.718,13949
6-10 years,2021-22,Persons,0.785,14132
6-10 years,2017-18,Persons,0.225,87061
6-10 years,2018-19,Persons,0.233,78775
6-10 years,2019-20,Persons,0.235,82043
6-10 years,2020-21,Persons,0.223,84334
6-10 years,2021-22,Persons,0.266,71385
6-10 years,2017-18,Persons,2.052,38672
6-10 years,2018-19,Persons,2.119,39438
6-10 years,2019-20,Persons,2.048,38461
6-10 years,2020-21,Persons,2.402,35349
6-10 years,2021-22,Persons,2.62,34147
6-10 years,2017-18,Persons,0.159,60691
6-10 years,2018-19,Persons,0.174,60416
6-10 years,2019-20,Persons,0.156,71997
6-10 years,2020-21,Persons,0.167,71847
6-10 years,2021-22,Persons,0.203,56505
6-10 years,2017-18,Persons,1.804,28306
6-10 years,2018-19,Persons,1.823,29798
6-10 years,2019-20,Persons,1.775,29982
6-10 years,2020-21,Persons,1.919,30398
6-10 years,2021-22,Persons,2.221,30171
6-10 years,2017-18,Persons,1.276,32955
6-10 years,2018-19,Persons,1.285,33253
6-10 years,2019-20,Persons,1.252,36939
6-10 years,2020-21,Persons,1.425,32946
6-10 years,2021-22,Persons,1.572,31426
6-10 years,2017-18,Persons,2.966,21119
6-10 years,2018-19,Persons,3.109,20197
6-10 years,2019-20,Persons,3.161,22122
6-10 years,2020-21,Persons,3.576,20883
6-10 years,2021-22,Persons,4.156,16907
6-10 years,2017-18,Persons,4.115,12910
6-10 years,2018-19,Persons,4.226,13290
6-10 years,2019-20,Persons,4.522,15101
6-10 years,2020-21,Persons,5.279,13618
6-10 years,2021-22,Persons,6.206,10743
6-10 years,2017-18,Persons,1.401,19580
6-10 years,2018-19,Persons,1.428,22638
6-10 years,2019-20,Persons,1.476,21995
6-10 years,2020-21,Persons,1.651,22317
6-10 years,2021-22,Persons,1.937,16275
6-10 years,2017-18,Persons,0.414,27885
6-10 years,2018-19,Persons,0.473,21783
6-10 years,2019-20,Persons,0.428,26134
6-10 years,2020-21,Persons,0.567,12101
6-10 years,2021-22,Persons,0.638,12626
6-10 years,2017-18,Persons,1.167,32574
6-10 years,2018-19,Persons,1.202,33663
6-10 years,2019-20,Persons,1.176,35404
6-10 years,2020-21,Persons,1.339,32650
6-10 years,2021-22,Persons,1.544,28458
6-10 years,2017-18,Persons,0.875,20325
6-10 years,2018-19,Persons,0.931,22377
6-10 years,2019-20,Persons,0.926,23389
6-10 years,2020-21,Persons,1.057,23630
6-10 years,2021-22,Persons,1.286,21982
6-10 years,2017-18,Persons,2.81,28761
6-10 years,2018-19,Persons,3.042,28960
6-10 years,2019-20,Persons,3.034,32426
6-10 years,2020-21,Persons,3.319,33323
6-10 years,2021-22,Persons,3.798,32583
6-10 years,2017-18,Persons,4.071,14462
6-10 years,2018-19,Persons,4.351,14915
6-10 years,2019-20,Persons,4.394,14651
6-10 years,2020-21,Persons,5.093,13745
6-10 years,2021-22,Persons,6.076,12888
6-10 years,2017-18,Persons,1.103,43968
6-10 years,2018-19,Persons,1.102,49121
6-10 years,2019-20,Persons,0.961,52575
6-10 years,2020-21,Persons,0.953,50698
6-10 years,2021-22,Persons,1.089,42983
6-10 years,2017-18,Persons,2.618,26915
6-10 years,2018-19,Persons,2.72,25367
6-10 years,2019-20,Persons,2.668,26301
6-10 years,2020-21,Persons,2.742,26756
6-10 years,2021-22,Persons,2.935,25233
6-10 years,2017-18,Persons,6.075,32031
6-10 years,2018-19,Persons,6.676,32291
6-10 years,2019-20,Persons,6.856,34634
6-10 years,2020-21,Persons,8.564,32534
6-10 years,2021-22,Persons,10.405,27999
6-10 years,2017-18,Persons,0.636,17768
6-10 years,2018-19,Persons,0.745,18096
6-10 years,2019-20,Persons,0.745,18969
6-10 years,2020-21,Persons,0.836,17372
6-10 years,2021-22,Persons,0.941,13060
6-10 years,2017-18,Persons,1.957,15177
6-10 years,2018-19,Persons,2.138,16105
6-10 years,2019-20,Persons,2.216,18291
6-10 years,2020-21,Persons,2.622,19653
6-10 years,2021-22,Persons,3.024,16871
6-10 years,2017-18,Persons,38.347,22672
6-10 years,2018-19,Persons,40.08,23162
6-10 years,2019-20,Persons,40.243,24578
6-10 years,2020-21,Persons,45.809,23532
6-10 years,2021-22,Persons,52.998,20811
6-10 years,2017-18,Males,0.123,23688
6-10 years,2018-19,Males,0.152,25287
6-10 years,2019-20,Males,0.137,23748
6-10 years,2020-21,Males,0.158,20880
6-10 years,2021-22,Males,0.155,26992
6-10 years,2017-18,Males,0.029,83113
6-10 years,2018-19,Males,0.028,113349
6-10 years,2019-20,Males,0.029,74588
6-10 years,2020-21,Males,0.027,85265
6-10 years,2021-22,Males,0.021,88548
6-10 years,2017-18,Males,0.39,42183
6-10 years,2018-19,Males,0.359,47262
6-10 years,2019-20,Males,0.393,45167
6-10 years,2020-21,Males,0.493,44508
6-10 years,2021-22,Males,0.537,38956
6-10 years,2017-18,Males,0.022,71701
6-10 years,2018-19,Males,0.026,63667
6-10 years,2019-20,Males,0.027,73714
6-10 years,2020-21,Males,0.026,64261
6-10 years,2021-22,Males,0.03,63799
6-10 years,2017-18,Males,0.463,30740
6-10 years,2018-19,Males,0.493,36110
6-10 years,2019-20,Males,0.499,32154
6-10 years,2020-21,Males,0.519,34630
6-10 years,2021-22,Males,0.584,33003
6-10 years,2017-18,Males,0.165,41988
6-10 years,2018-19,Males,0.174,44600
6-10 years,2019-20,Males,0.18,45829
6-10 years,2020-21,Males,0.184,34500
6-10 years,2021-22,Males,0.182,32697
6-10 years,2017-18,Males,0.28,23608
6-10 years,2018-19,Males,0.3,25483
6-10 years,2019-20,Males,0.335,25119
6-10 years,2020-21,Males,0.331,27309
6-10 years,2021-22,Males,0.396,20922
6-10 years,2017-18,Males,0.428,12234
6-10 years,2018-19,Males,0.455,13054
6-10 years,2019-20,Males,0.433,15109
6-10 years,2020-21,Males,0.515,14854
6-10 years,2021-22,Males,0.633,10881
6-10 years,2017-18,Males,0.283,16952
6-10 years,2018-19,Males,0.278,15955
6-10 years,2019-20,Males,0.271,17397
6-10 years,2020-21,Males,0.275,28237
6-10 years,2021-22,Males,0.354,18185
6-10 years,2017-18,Males,0.057,48618
6-10 years,2018-19,Males,0.074,13890
6-10 years,2019-20,Males,0.057,32314
6-10 years,2020-21,Males,0.061,12787
6-10 years,2021-22,Males,0.068,12582
6-10 years,2017-18,Males,0.094,40391
6-10 years,2018-19,Males,0.104,47316
6-10 years,2019-20,Males,0.121,41522
6-10 years,2020-21,Males,0.121,37423
6-10 years,2021-22,Males,0.147,26334
6-10 years,2017-18,Males,0.054,39106
6-10 years,2018-19,Males,0.069,32251
6-10 years,2019-20,Males,0.073,32821
6-10 years,2020-21,Males,0.057,35296
6-10 years,2021-22,Males,0.048,38758
6-10 years,2017-18,Males,0.25,37971
6-10 years,2018-19,Males,0.271,41833
6-10 years,2019-20,Males,0.254,34732
6-10 years,2020-21,Males,0.297,38441
6-10 years,2021-22,Males,0.307,36142
6-10 years,2017-18,Males,0.601,15245
6-10 years,2018-19,Males,0.608,14831
6-10 years,2019-20,Males,0.609,15671
6-10 years,2020-21,Males,0.673,14317
6-10 years,2021-22,Males,0.792,15191
6-10 years,2017-18,Males,0.2,44063
6-10 years,2018-19,Males,0.191,53102
6-10 years,2019-20,Males,0.163,50923
6-10 years,2020-21,Males,0.167,46402
6-10 years,2021-22,Males,0.202,36866
6-10 years,2017-18,Males,0.185,32156
6-10 years,2018-19,Males,0.161,26489
6-10 years,2019-20,Males,0.169,31628
6-10 years,2020-21,Males,0.155,20609
6-10 years,2021-22,Males,0.158,35584
6-10 years,2017-18,Males,0.383,44404
6-10 years,2018-19,Males,0.444,42303
6-10 years,2019-20,Males,0.499,35447
6-10 years,2020-21,Males,0.587,36535
6-10 years,2021-22,Males,0.667,33635
6-10 years,2017-18,Males,0.071,12106
6-10 years,2018-19,Males,0.072,16530
6-10 years,2019-20,Males,0.057,15397
6-10 years,2020-21,Males,0.073,21573
6-10 years,2021-22,Males,0.068,16887
6-10 years,2017-18,Males,0.138,18569
6-10 years,2018-19,Males,0.131,19710
6-10 years,2019-20,Males,0.139,23833
6-10 years,2020-21,Males,0.16,23174
6-10 years,2021-22,Males,0.185,21389
6-10 years,2017-18,Males,4.481,26253
6-10 years,2018-19,Males,4.594,26627
6-10 years,2019-20,Males,4.574,27213
6-10 years,2020-21,Males,5.008,27903
6-10 years,2021-22,Males,5.676,24186
6-10 years,2017-18,Females,0.152,15979
6-10 years,2018-19,Females,0.177,16901
6-10 years,2019-20,Females,0.173,16347
6-10 years,2020-21,Females,0.192,14050
6-10 years,2021-22,Females,0.218,13854
6-10 years,2017-18,Females,0.011,39597
6-10 years,2018-19,Females,0.015,39568
6-10 years,2019-20,Females,0.014,39436
6-10 years,2020-21,Females,0.014,72235
6-10 years,2021-22,Females,0.017,43808
6-10 years,2017-18,Females,0.352,28464
6-10 years,2018-19,Females,0.393,32898
6-10 years,2019-20,Females,0.369,36543
6-10 years,2020-21,Females,0.416,34765
6-10 years,2021-22,Females,0.461,30002
6-10 years,2017-18,Females,0.024,52548
6-10 years,2018-19,Females,0.032,59331
6-10 years,2019-20,Females,0.017,24255
6-10 years,2020-21,Females,0.021,63688
6-10 years,2021-22,Females,0.03,50861
6-10 years,2017-18,Females,0.093,20679
6-10 years,2018-19,Females,0.113,18163
6-10 years,2019-20,Females,0.114,20622
6-10 years,2020-21,Females,0.137,25679
6-10 years,2021-22,Females,0.181,20913
6-10 years,2017-18,Females,0.185,24342
6-10 years,2018-19,Females,0.2,32989
6-10 years,2019-20,Females,0.208,28085
6-10 years,2020-21,Females,0.23,31225
6-10 years,2021-22,Females,0.25,26142
6-10 years,2017-18,Females,0.408,15975
6-10 years,2018-19,Females,0.455,18936
6-10 years,2019-20,Females,0.524,17013
6-10 years,2020-21,Females,0.585,16153
6-10 years,2021-22,Females,0.687,13181
6-10 years,2017-18,Females,0.698,10691
6-10 years,2018-19,Females,0.707,10584
6-10 years,2019-20,Females,0.734,14999
6-10 years,2020-21,Females,0.897,15053
6-10 years,2021-22,Females,1.077,9310
6-10 years,2017-18,Females,0.1,22313
6-10 years,2018-19,Females,0.111,20768
6-10 years,2019-20,Females,0.092,25224
6-10 years,2020-21,Females,0.109,18747
6-10 years,2021-22,Females,0.13,17113
6-10 years,2017-18,Females,0.047,33709
6-10 years,2018-19,Females,0.052,24062
6-10 years,2019-20,Females,0.046,22213
6-10 years,2020-21,Females,0.045,32318
6-10 years,2021-22,Females,0.061,28211
6-10 years,2017-18,Females,0.153,27147
6-10 years,2018-19,Females,0.163,32974
6-10 years,2019-20,Females,0.166,32731
6-10 years,2020-21,Females,0.212,31632
6-10 years,2021-22,Females,0.323,25579
6-10 years,2017-18,Females,0.064,16145
6-10 years,2018-19,Females,0.074,14754
6-10 years,2019-20,Females,0.104,14748
6-10 years,2020-21,Females,0.115,16282
6-10 years,2021-22,Females,0.124,25463
6-10 years,2017-18,Females,0.351,23466
6-10 years,2018-19,Females,0.425,24002
6-10 years,2019-20,Females,0.415,28211
6-10 years,2020-21,Females,0.44,28068
6-10 years,2021-22,Females,0.516,25089
6-10 years,2017-18,Females,0.82,11730
6-10 years,2018-19,Females,0.87,13963
6-10 years,2019-20,Females,0.901,13328
6-10 years,2020-21,Females,0.977,15162
6-10 years,2021-22,Females,1.211,12823
6-10 years,2017-18,Females,0.198,35776
6-10 years,2018-19,Females,0.194,43295
6-10 years,2019-20,Females,0.158,43263
6-10 years,2020-21,Females,0.174,40268
6-10 years,2021-22,Females,0.23,21807
6-10 years,2017-18,Females,0.51,14997
6-10 years,2018-19,Females,0.488,18950
6-10 years,2019-20,Females,0.462,20585
6-10 years,2020-21,Females,0.44,23953
6-10 years,2021-22,Females,0.492,20742
6-10 years,2017-18,Females,1.831,30031
6-10 years,2018-19,Females,1.918,31660
6-10 years,2019-20,Females,1.965,32115
6-10 years,2020-21,Females,2.29,29305
6-10 years,2021-22,Females,2.666,26079
6-10 years,2017-18,Females,0.1,8261
6-10 years,2018-19,Females,0.1,10387
6-10 years,2019-20,Females,0.086,13808
6-10 years,2020-21,Females,0.105,11833
6-10 years,2021-22,Females,0.114,11168
6-10 years,2017-18,Females,0.357,12129
6-10 years,2018-19,Females,0.417,13172
6-10 years,2019-20,Females,0.44,14306
6-10 years,2020-21,Females,0.52,16002
6-10 years,2021-22,Females,0.599,13280
6-10 years,2017-18,Females,6.848,19609
6-10 years,2018-19,Females,7.249,20659
6-10 years,2019-20,Females,7.309,21930
6-10 years,2020-21,Females,8.184,21823
6-10 years,2021-22,Females,9.651,18705
6-10 years,2017-18,Persons,0.276,18436
6-10 years,2018-19,Persons,0.331,18856
6-10 years,2019-20,Persons,0.302,19392
6-10 years,2020-21,Persons,0.351,17171
6-10 years,2021-22,Persons,0.373,18097
6-10 years,2017-18,Persons,0.037,77178
6-10 years,2018-19,Persons,0.037,90053
6-10 years,2019-20,Persons,0.04,62251
6-10 years,2020-21,Persons,0.044,76972
6-10 years,2021-22,Persons,0.039,75254
6-10 years,2017-18,Persons,0.745,34911
6-10 years,2018-19,Persons,0.753,38271
6-10 years,2019-20,Persons,0.767,41329
6-10 years,2020-21,Persons,0.909,41709
6-10 years,2021-22,Persons,1.001,34626
6-10 years,2017-18,Persons,0.052,59074
6-10 years,2018-19,Persons,0.056,62829
6-10 years,2019-20,Persons,0.043,60426
6-10 years,2020-21,Persons,0.043,64261
6-10 years,2021-22,Persons,0.057,54462
6-10 years,2017-18,Persons,0.56,29636
6-10 years,2018-19,Persons,0.608,29569
6-10 years,2019-20,Persons,0.615,30256
6-10 years,2020-21,Persons,0.654,33156
6-10 years,2021-22,Persons,0.757,31212
6-10 years,2017-18,Persons,0.353,30231
6-10 years,2018-19,Persons,0.371,39231
6-10 years,2019-20,Persons,0.385,37138
6-10 years,2020-21,Persons,0.416,31796
6-10 years,2021-22,Persons,0.431,27472
6-10 years,2017-18,Persons,0.683,18603
6-10 years,2018-19,Persons,0.753,20802
6-10 years,2019-20,Persons,0.855,18967
6-10 years,2020-21,Persons,0.918,19682
6-10 years,2021-22,Persons,1.082,15556
6-10 years,2017-18,Persons,1.133,11230
6-10 years,2018-19,Persons,1.163,11350
6-10 years,2019-20,Persons,1.163,15014
6-10 years,2020-21,Persons,1.409,14998
6-10 years,2021-22,Persons,1.711,9901
6-10 years,2017-18,Persons,0.386,18848
6-10 years,2018-19,Persons,0.387,17984
6-10 years,2019-20,Persons,0.366,18620
6-10 years,2020-21,Persons,0.386,23932
6-10 years,2021-22,Persons,0.484,17920
6-10 years,2017-18,Persons,0.106,41574
6-10 years,2018-19,Persons,0.129,16824
6-10 years,2019-20,Persons,0.106,25041
6-10 years,2020-21,Persons,0.1,21771
6-10 years,2021-22,Persons,0.135,22243
6-10 years,2017-18,Persons,0.24,30447
6-10 years,2018-19,Persons,0.267,37828
6-10 years,2019-20,Persons,0.286,37030
6-10 years,2020-21,Persons,0.331,32891
6-10 years,2021-22,Persons,0.471,25581
6-10 years,2017-18,Persons,0.114,25205
6-10 years,2018-19,Persons,0.146,19849
6-10 years,2019-20,Persons,0.173,20239
6-10 years,2020-21,Persons,0.168,21628
6-10 years,2021-22,Persons,0.178,28647
6-10 years,2017-18,Persons,0.6,27781
6-10 years,2018-19,Persons,0.693,27749
6-10 years,2019-20,Persons,0.676,29840
6-10 years,2020-21,Persons,0.738,32086
6-10 years,2021-22,Persons,0.82,27502
6-10 years,2017-18,Persons,1.42,12791
6-10 years,2018-19,Persons,1.481,14226
6-10 years,2019-20,Persons,1.509,13748
6-10 years,2020-21,Persons,1.647,14705
6-10 years,2021-22,Persons,2.002,13899
6-10 years,2017-18,Persons,0.395,38674
6-10 years,2018-19,Persons,0.381,46121
6-10 years,2019-20,Persons,0.32,48098
6-10 years,2020-21,Persons,0.343,41717
6-10 years,2021-22,Persons,0.429,25968
6-10 years,2017-18,Persons,0.697,17188
6-10 years,2018-19,Persons,0.647,19369
6-10 years,2019-20,Persons,0.634,22393
6-10 years,2020-21,Persons,0.592,23199
6-10 years,2021-22,Persons,0.653,22953
6-10 years,2017-18,Persons,2.212,31584
6-10 years,2018-19,Persons,2.361,33154
6-10 years,2019-20,Persons,2.468,32849
6-10 years,2020-21,Persons,2.877,30165
6-10 years,2021-22,Persons,3.335,27354
6-10 years,2017-18,Persons,0.174,9851
6-10 years,2018-19,Persons,0.168,12104
6-10 years,2019-20,Persons,0.146,14776
6-10 years,2020-21,Persons,0.175,13777
6-10 years,2021-22,Persons,0.181,13894
6-10 years,2017-18,Persons,0.498,13403
6-10 years,2018-19,Persons,0.548,14065
6-10 years,2019-20,Persons,0.582,15619
6-10 years,2020-21,Persons,0.676,16888
6-10 years,2021-22,Persons,0.784,15393
6-10 years,2017-18,Persons,11.326,21721
6-10 years,2018-19,Persons,11.842,22474
6-10 years,2019-20,Persons,11.88,23593
6-10 years,2020-21,Persons,13.197,23547
6-10 years,2021-22,Persons,15.333,20349
6-10 years,2017-18,Males,0.125,19549
6-10 years,2018-19,Males,0.13,24024
6-10 years,2019-20,Males,0.122,30603
6-10 years,2020-21,Males,0.147,24420
6-10 years,2021-22,Males,0.168,17640
6-10 years,2017-18,Males,0.41,77881
6-10 years,2018-19,Males,0.417,88764
6-10 years,2019-20,Males,0.488,87247
6-10 years,2020-21,Males,0.525,82263
6-10 years,2021-22,Males,0.668,69545
6-10 years,2017-18,Males,0.823,50580
6-10 years,2018-19,Males,0.855,49164
6-10 years,2019-20,Males,0.811,51868
6-10 years,2020-21,Males,0.903,45773
6-10 years,2021-22,Males,0.972,42088
6-10 years,2017-18,Males,0.089,83382
6-10 years,2018-19,Males,0.094,73816
6-10 years,2019-20,Males,0.113,79454
6-10 years,2020-21,Males,0.096,87743
6-10 years,2021-22,Males,0.085,63366
6-10 years,2017-18,Males,1.376,34933
6-10 years,2018-19,Males,1.369,34473
6-10 years,2019-20,Males,1.321,34134
6-10 years,2020-21,Males,1.436,39869
6-10 years,2021-22,Males,1.53,39703
6-10 years,2017-18,Males,0.443,46217
6-10 years,2018-19,Males,0.42,51082
6-10 years,2019-20,Males,0.407,49722
6-10 years,2020-21,Males,0.525,43863
6-10 years,2021-22,Males,0.555,43213
6-10 years,2017-18,Males,0.796,26740
6-10 years,2018-19,Males,0.843,28360
6-10 years,2019-20,Males,0.843,26548
6-10 years,2020-21,Males,0.851,28836
6-10 years,2021-22,Males,0.989,17208
6-10 years,2017-18,Males,1.042,14101
6-10 years,2018-19,Males,1.141,14075
6-10 years,2019-20,Males,1.193,14100
6-10 years,2020-21,Males,1.408,13402
6-10 years,2021-22,Males,1.501,12255
6-10 years,2017-18,Males,0.835,23892
6-10 years,2018-19,Males,0.795,23306
6-10 years,2019-20,Males,0.796,19596
6-10 years,2020-21,Males,0.919,22180
6-10 years,2021-22,Males,1.027,19578
6-10 years,2017-18,Males,0.11,37327
6-10 years,2018-19,Males,0.109,34054
6-10 years,2019-20,Males,0.099,29063
6-10 years,2020-21,Males,0.099,42002
6-10 years,2021-22,Males,0.102,36785
6-10 years,2017-18,Males,0.218,54207
6-10 years,2018-19,Males,0.259,53933
6-10 years,2019-20,Males,0.243,54016
6-10 years,2020-21,Males,0.274,50589
6-10 years,2021-22,Males,0.318,47488
6-10 years,2017-18,Males,0.166,38125
6-10 years,2018-19,Males,0.183,35533
6-10 years,2019-20,Males,0.189,41216
6-10 years,2020-21,Males,0.201,38534
6-10 years,2021-22,Males,0.201,39031
6-10 years,2017-18,Males,0.762,48658
6-10 years,2018-19,Males,0.844,45826
6-10 years,2019-20,Males,0.797,53724
6-10 years,2020-21,Males,0.883,44698
6-10 years,2021-22,Males,0.984,44734
6-10 years,2017-18,Males,1.451,14542
6-10 years,2018-19,Males,1.44,16420
6-10 years,2019-20,Males,1.506,16449
6-10 years,2020-21,Males,1.735,15838
6-10 years,2021-22,Males,1.948,13933
6-10 years,2017-18,Males,0.507,56093
