feature,gender,median_income,number_of_jobs,PROPORTION
Temporary Other,Males,70k-90k,0.148,4.928970274565892e-07
Temporary Other,Males,90k-110k,0.086,2.864131375761261e-07
Temporary Other,Males,110k-130k,0.004,1.3321541282610517e-08
Temporary Other,Males,130-150k,0.019,6.327732109239996e-08
Temporary Other,Males,>150k,0.0,0.0
Temporary Skilled,Females,<10k,13.841,4.6095863223153045e-05
Temporary Skilled,Females,10k-20k,202.71200000000002,0.0006751090691201358
Temporary Skilled,Females,20k-30k,107.02,0.0003564178370162444
Temporary Skilled,Females,30k-50k,475.753,0.0015844408074564503
Temporary Skilled,Females,50k-70k,290.252,0.0009666510000900671
Temporary Skilled,Females,70k-90k,60.792,0.00020246078441311466
Temporary Skilled,Females,90k-110k,4.337,1.4443881135670453e-05
Temporary Skilled,Females,110k-130k,1.437,4.785763705777829e-06
Temporary Skilled,Females,130-150k,1.6560000000000001,5.515118091000755e-06
Temporary Skilled,Females,>150k,0.9630000000000001,3.2071610637884825e-06
Temporary Skilled,Males,<10k,2.418,8.052871705338058e-06
Temporary Skilled,Males,10k-20k,35.078,0.00011682325627785295
Temporary Skilled,Males,20k-30k,35.883,0.0001195042164609783
Temporary Skilled,Males,30k-50k,134.002,0.0004462782937380937
Temporary Skilled,Males,50k-70k,1027.397,0.003421627887282549
Temporary Skilled,Males,70k-90k,492.281,0.001639485416036197
Temporary Skilled,Males,90k-110k,40.871,0.00013611617844039363
Temporary Skilled,Males,110k-130k,7.329,2.440839401506312e-05
Temporary Skilled,Males,130-150k,5.598,1.864349702501342e-05
Temporary Skilled,Males,>150k,22.075,7.35182559534068e-05
Temporary Student,Females,<10k,6036.22,0.020102938480229815
Temporary Student,Females,10k-20k,519.846,0.0017312874873999869
Temporary Student,Females,20k-30k,0.511,1.7018268988534936e-06
Temporary Student,Females,30k-50k,0.045,1.4986733942936832e-07
Temporary Student,Females,50k-70k,0.0,0.0
Temporary Student,Females,70k-90k,0.0,0.0
Temporary Student,Females,90k-110k,0.0,0.0
Temporary Student,Females,110k-130k,0.0,0.0
Temporary Student,Females,130-150k,0.0,0.0
Temporary Student,Females,>150k,0.0,0.0
Temporary Student,Males,<10k,6586.035,0.02193403428530444
Temporary Student,Males,10k-20k,1231.59,0.004101669257062571
Temporary Student,Males,20k-30k,27.679,9.218173529034412e-05
Temporary Student,Males,30k-50k,0.031,1.0324194494023151e-07
Temporary Student,Males,50k-70k,0.0,0.0
Temporary Student,Males,70k-90k,0.0,0.0
Temporary Student,Males,90k-110k,0.0,0.0
Temporary Student,Males,110k-130k,0.0,0.0
Temporary Student,Males,130-150k,0.0,0.0
Temporary Student,Males,>150k,0.0,0.0
Temporary Working Holiday Maker,Females,<10k,2562.358,0.00853363946945683
Temporary Working Holiday Maker,Females,10k-20k,11.718,3.9025455187407515e-05
Temporary Working Holiday Maker,Females,20k-30k,0.357,1.1889475594729887e-06
Temporary Working Holiday Maker,Females,30k-50k,0.06,1.9982311923915775e-07
Temporary Working Holiday Maker,Females,50k-70k,0.0,0.0
Temporary Working Holiday Maker,Females,70k-90k,0.0,0.0
Temporary Working Holiday Maker,Females,90k-110k,0.0,0.0
Temporary Working Holiday Maker,Females,110k-130k,0.0,0.0
Temporary Working Holiday Maker,Females,130-150k,0.0,0.0
Temporary Working Holiday Maker,Females,>150k,0.0,0.0
Temporary Working Holiday Maker,Males,<10k,2566.067,0.00854599186861113
Temporary Working Holiday Maker,Males,10k-20k,23.967,7.981934498008156e-05
Temporary Working Holiday Maker,Males,20k-30k,1.6219999999999999,5.401884990098565e-06
Temporary Working Holiday Maker,Males,30k-50k,0.082,2.7309159629351564e-07
Temporary Working Holiday Maker,Males,50k-70k,0.0,0.0
Temporary Working Holiday Maker,Males,70k-90k,0.0,0.0
Temporary Working Holiday Maker,Males,90k-110k,0.0,0.0
Temporary Working Holiday Maker,Males,110k-130k,0.0,0.0
Temporary Working Holiday Maker,Males,130-150k,0.0,0.0
Temporary Working Holiday Maker,Males,>150k,0.0,0.0
